statement_edition,statement_source,statement_text
"on Friday, October 26th, 2018",Leah Vukmir,"Says Tammy Baldwin’s ""Medicare for All"" plan means senior citizens would ""no longer have"" Medicare.

 
"
"on Thursday, October 25th, 2018",Marsha Blackburn,"Says Phil Bredesen ""lured illegal immigrants to Tennessee.""

 
"
"on Thursday, October 25th, 2018",Donald Trump,"Says Beto O’Rourke ""voted to shield MS-13 gang members from deportation.""
"
"on Thursday, October 25th, 2018",Josh Hawley,"Says Claire McCaskill ""has had Chuck Schumer spend more dark money for her than for any senator in America. $16 million and counting!""
"
"on Wednesday, October 24th, 2018",Scott Walker,"Says Tony Evers will ""raise the gas tax by as much as a dollar a gallon.""
"
"on Wednesday, October 24th, 2018", Democratic Congressional Campaign Committee,"Says that U.S. Rep. Andy Barr was ""even dismissing the importance of military service"" by saying, ""We both served our country. I’ve served in a position where ideas matter.""
"
"on Wednesday, October 24th, 2018",Maine Democratic Party,"Say Maine U.S. Rep. Bruce Poliquin ""voted to gut your retirement benefits.""
"
"on Tuesday, October 23rd, 2018",Kevin Cramer,"""The standard of voting in North Dakota is the easiest in the country.""
"
"on Tuesday, October 23rd, 2018",Jeff Sessions,"An agreement between the city of Chicago and the ACLU caused ""virtually all of the rise in homicides"" in 2016.
"
"on Monday, October 22nd, 2018",Lizzie Pannill Fletcher,"Says John Culberson got $680 million for a telescope in South America and voted against fixing dams and FEMA funding to prevent flooding.
"
"on Monday, October 22nd, 2018",Tony Evers,"""Wisconsin pays 50% more than Minnesota for the same health care.""

 
"
"on Friday, October 19th, 2018",Ted Cruz,"Says Beto O'Rourke ""voted in favor of a $10 a barrel tax on every barrel of oil produced in the state of Texas.""
"
"on Friday, October 19th, 2018", Florida Strong,"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""
"
"on Friday, October 19th, 2018",Paul Davis,"""The House GOP super PAC in DC is spending more to help my opponent than anyone else.""
"
"on Friday, October 19th, 2018", Senate Leadership Fund,"""Washington Heidi supports sanctuary cities, where illegal immigrants can be released on our streets, like this criminal, who was let go and then sexually assaulted a child.""
"
"on Wednesday, October 17th, 2018",JD Wooten,"""Republicans in the General Assembly cut teacher pay so much when they took over in 2011 that even with recent pay raises, we are still below pre-Recession pay levels.""
"
"on Wednesday, October 17th, 2018", Bloggers,"""Indiana has purged no less than 20,000 voters in violation of a federal court order.""
"
"on Wednesday, October 17th, 2018", Bloggers,"""Indiana has purged no less than 20,000 voters in violation of a federal court order.""
"
"on Thursday, October 11th, 2018", National Republican Congressional Committee,"Says Washington’s Kim Schrier has a plan to eliminate employer-provided health coverage, double income taxes and put your care ""in the hands of government bureaucrats.""

 
"
"on Thursday, October 11th, 2018",Jeff Bartos,"Capital punishment is a ""specific deterrent with the most heinous crimes.""
"
"on Wednesday, October 10th, 2018", Republican Party of Florida,"After Hurricane Hermine struck Tallahassee, ""utility companies lined up trucks to restore power. But as mayor, Andrew Gillum refused help from workers.""
"
"on Monday, October 8th, 2018", National Republican Congressional Committee,"Says that Minnesota Democratic congressional candidate Dean Phillips doesn’t offer health insurance for his employees.
"
"on Sunday, October 7th, 2018",Bruce Rauner,"""For decades, Madigan kept property taxes high and made a fortune helping cronies like Pritzker dodge them.""
"
"on Friday, October 5th, 2018",Beto O'Rourke,"Says marijuana is ""legal in most states in this country.""
"
"on Friday, October 5th, 2018",Rahm Emanuel,"Says three research universities ""came out and said (CPS is) the best public school system in the United States of a major urban system.""
"
"on Wednesday, October 3rd, 2018",Antonio Delgado,"Says U.S. Rep. John Faso ""voted for an age tax on seniors.""
"
"on Wednesday, October 3rd, 2018",Brendan Kelly,"""While southern Illinois families struggled,"" Mike Bost ""voted to raise his own pay.""

 
"
"on Wednesday, October 3rd, 2018",Leah Vukmir,"Says Tammy Baldwin was the only member of the Wisconsin congressional delegation ""to have a report outlining that a doctor was overprescribing opioids"" at the Tomah VA, ""later a veteran died"" and Baldwin ""covered it up.""
"
"on Tuesday, October 2nd, 2018",D. Cole Phelps,"""Health care premiums in North Carolina are now among the five highest states in the country.""
"
"on Tuesday, October 2nd, 2018", Senate Leadership Fund,"Says Jacky Rosen ""voted against stopping criminals from re-entering the United States.""

 
"
"on Sunday, September 30th, 2018",JB Pritzker,"""Because of Bruce Rauner, Illinois went 736 days without a budget, delaying funding for schools while local governments were forced to raise property taxes.""
"
"on Friday, September 28th, 2018",Ted Cruz,"California ""is hemorrhaging population.""
"
"on Friday, September 28th, 2018",Bill Nelson,"Says Florida Gov. Rick Scott ""subtracted $1.3 billion from public schools.""

 
"
"on Thursday, September 27th, 2018",Steve West,"""PHARMACEUTICAL COMPANIES that manufacture vaccines have IMMUNITY FROM PROSECUTION!""
"
"on Thursday, September 27th, 2018", North Carolina Republican Party,"""As hundreds of North Carolinians face long lines at DMV offices around the state, Governor Cooper created a secret DMV office just for his friends.""
"
"on Wednesday, September 26th, 2018",Rick Scott,"""Fourth grade reading and math scores, first in the nation. Eighth grade reading, first. High school AP classes and college education, both ranked first in the nation.""
"
"on Wednesday, September 26th, 2018",Danny O'Connor,"Says Ohio U.S. Rep. Troy Balderson backs a ""massive tax giveaway"" for corporations ""by slashing Medicare and Social Security.""

 
"
"on Tuesday, September 25th, 2018",Ted Cruz,"Says Beto O’Rourke described police as ""modern-day Jim Crow.""
"
"on Tuesday, September 25th, 2018",Beto O'Rourke,"Says he ""did not try to leave the scene of the accident"" that led to his arrest for driving while intoxicated.
"
"on Thursday, September 20th, 2018", Senate Leadership Fund,"Says Tennessee Senate candidate Phil Bredesen ""supports single-payer health care.""

 
"
"on Thursday, September 20th, 2018",Josh Hawley,"Since 2009, ""millions of Americans have lost their health care plans.""
"
"on Monday, September 17th, 2018", Congressional Leadership Fund,"Says Minnesota U.S. House candidate Joe Radinovich has ""spent his life running from the law, charged with 18 crimes.""
"
"on Sunday, September 16th, 2018",Erika Harold,"Says ""Mike Madigan and Kwame Raoul team up to raise property taxes.""
"
"on Thursday, September 13th, 2018",Jim Justice,"""According to SCUBA divers, Summersville Lake is the clearest freshwater lake east of the Mississippi River.""
"
"on Thursday, September 13th, 2018",Scott Walker,"""A teacher watched hard-core pornography in his classroom,"" along with other inappropriate behavior, but Tony Evers didn't revoke the teacher's license and ""the teacher is still in the classroom.""
"
"on Wednesday, September 12th, 2018", One Nation PAC,"Says Joe Donnelly ""voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.""
"
"on Wednesday, September 12th, 2018",Gavin Newsom,"Says John Cox ""parroted, parroted Trump — almost verbatim — on the children’s separation issues at the border.""
"
"on Wednesday, September 12th, 2018", Bloggers,"Says Beto O’Rourke's campaign ""told Texas VFW to remove their American flag"" because O'Rourke has ""an aversion to the American flag and symbols of patriotism.""
"
"on Monday, September 10th, 2018",Martha McSally,"""While we were in harm’s way in uniform, Kyrsten Sinema was protesting us in a pink tutu and denigrating our service.""
"
"on Saturday, September 8th, 2018",Vicky Hartzler,"Current school lunch requirements ""cause large amounts of food waste and diminished use of school lunches!""
"
"on Friday, September 7th, 2018",Katie Porter,"Says ""Mimi Walters raised taxes on middle-class Californians."" 
"
"on Friday, September 7th, 2018", Congressional Leadership Fund,"""In Augusta, (Jared) Golden voted to let welfare recipients use your tax dollars to buy tattoos, tobacco, alcohol, even lottery tickets.""
"
"on Friday, September 7th, 2018",Tony Evers,"Says Scott Walker refused federal funds and ""Wisconsin families now pay nearly 50% more than Minnesotans for the same health care.""
"
"on Thursday, September 6th, 2018",Andrew Cuomo,"""We passed the toughest gun control law in the United States of America, the SAFE Act.""
"
"on Wednesday, September 5th, 2018",Saundra McDowell,"If Missouri Amendment 1 passes, the auditor's office ""could take one district, St. Louis here, and merge it with a district in southwest Missouri, a Republican district, and they don't even have to touch.""
"
"on Tuesday, September 4th, 2018",Donald Trump,"""Two long running, Obama era, investigations of two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department.""
"
"on Sunday, September 2nd, 2018",JB Pritzker,"Says Bruce Rauner is ""misquoting newspapers to lie about J.B. Pritzker.""
"
"on Friday, August 31st, 2018",Donald Trump,"""A few months ago, it hit where West Virginia is, on a per capita basis, one of the most successful (gross domestic product) states in our union.""
"
"on Thursday, August 30th, 2018", YourNewsWire.com,"""California lawmakers are planning to push free abortion pills on all students across the state as part of a ‘super progressive’ new policy.""
"
"on Friday, August 24th, 2018",Donald Trump,"Says the ""South African Government is now seizing land from white farmers"" and alleges a ""large scale killing of farmers"" in the country.
"
"on Friday, August 24th, 2018", Bloggers,"""NASA says an asteroid bigger than a football pitch is heading towards Earth.""
"
"on Thursday, August 23rd, 2018",Donald Trump,"""I want clean air. I want crystal clean water. And we’ve got it. We’ve got the cleanest country in the planet right now.""
"
"on Wednesday, August 22nd, 2018",Brad Schimel,"""We need an ID"" to ""buy a beer.""

 
"
"on Tuesday, August 21st, 2018", Fox News Channel,"""California is proposing to legislate what drinks restaurants can serve your kids, only giving two options: milk or water.""
"
"on Tuesday, August 21st, 2018", Defend Arizona,"Says Kelli Ward ""called for restraint in fighting terrorism.""
"
"on Monday, August 20th, 2018", AmericanJournalReview.com,"""Red Alert: Major Signs of Voter Fraud Uncovered In Ohio.""

 
"
"on Monday, August 20th, 2018", Bloggers,"""Science says that being single will kill you faster than obesity.""
"
"on Friday, August 17th, 2018", Patriot News Alerts,"""U.S. government reports record tax haul after Trump tax cuts spur economic growth.""
"
"on Thursday, August 16th, 2018",Martha McSally,"Says ""former Democrat Kelli Ward attacked President Trump's plans to crack down on illegal immigration, saying Trump was making a mistake.""
"
"on Thursday, August 16th, 2018",Dean Heller,"Says Jacky Rosen ""skipped work ... at the expense of veterans"" to ""attend a publicity stunt.""
"
"on Thursday, August 16th, 2018",Rick Scott,"Says Bill Nelson ""doesn’t pay payroll taxes for his employees. He doesn’t even provide them with health benefits. It’s stealing money from Medicare and Social Security.""
"
"on Wednesday, August 15th, 2018",Gwen Graham,"""The teachers in (charter) schools don't even have to be certified.""
"
"on Tuesday, August 14th, 2018",Josh Hawley,"""I am the only (state attorney general) in America fighting to hold the big tech companies accountable for their behavior.""
"
"on Tuesday, August 14th, 2018", Republican Governors Association,"Says Richard Cordray ""secretly collected hundreds of millions of credit card accounts and mortgages. Worse, Cordray failed to protect our information. It was hacked over 200 times.""
"
"on Monday, August 13th, 2018",Donald Trump,"""Most of that money (made by the NFL) goes to the players.""
"
"on Friday, August 10th, 2018",Josh Pade,"""Wisconsin's still one of the highest-taxed states in the country.""
"
"on Tuesday, August 7th, 2018",Richard Cordray,"""Education Secretary Betsy DeVos owes Ohio $5.3 million for campaign finance violations and Mike DeWine's office refuses to collect the fine.""
"
"on Tuesday, August 7th, 2018",Tammy Baldwin,"""New reports show Kevin Nicholson made over $1 million advising companies that shut down Wisconsin plants and laid off 1,900 people.""

 
"
"on Monday, August 6th, 2018",Kevin Cramer,"""I've always voted for keeping the government open. I’ve never cast a vote to shut down the government.""
"
"on Friday, August 3rd, 2018",Marco Rubio,"States ""haven't even begun to spend the (election security) money they have now.""

 
"
"on Friday, August 3rd, 2018",Scott Walker,"Says he made ""a record investment in schools.""

 
"
"on Thursday, August 2nd, 2018",Equity Forward,"Says HHS Secretary Alex Azar called family separations at the border and detention of children in cages ""one of the great acts of American generosity and charity"" and ""is now in charge.""
"
"on Wednesday, August 1st, 2018",Gwen Graham,"""When a sinkhole began dumping toxic water in Florida's aquifer, Rick Scott tried to cover it up.""
"
"on Wednesday, August 1st, 2018",Nancy  Pelosi,"""Between the first and second quarters of 2018 — after the tax cuts were enacted — real wages fell by 1.8 percent.""
"
"on Wednesday, August 1st, 2018", Bloggers,"""SHOCK REPORT: Senator McCaskill BUSTED Funneling Millions of Tax Dollars to Her Hubby.""
"
"on Wednesday, August 1st, 2018",The Other 98%,"""Trump just gave a $12 billion bailout to farmers hurt by his failed tariffs. This will cost every household in the U.S. $95 … Trump is borrowing the money from China since his tax cuts blew a trillion dollar hole in the deficit.""
"
"on Wednesday, August 1st, 2018",Mahlon Mitchell,"Says Scott Walker ""has cut more from public education than he's put back in, obviously. He took $1.6 billion and some change away and then puts back $630 million and he's calling that progress.""
"
"on Tuesday, July 31st, 2018",Donald Trump,"""Collusion is not a crime.""

 
"
"on Tuesday, July 31st, 2018",Matt Flynn,"Says Foxconn ""is under investigation in mainland China for securities fraud, environmental fraud and labor fraud.""
"
"on Sunday, July 29th, 2018",Dorothy Brown,"""Pre-K has gone down since the current mayor took office.""
"
"on Friday, July 27th, 2018",Adam Putnam,"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""
"
"on Friday, July 27th, 2018",Kelda Helen Roys,"Says ""political interference"" from Scott Walker’s administration has led to ""gagging (DNR) scientists so they can no longer comment on proposed legislation"" and ""we’re letting polluters write their own permits.""
"
"on Thursday, July 26th, 2018",Bill Nelson,"Says detained immigrant parents separated from their children at the border are being charged ""as much as $8 a minute to call their children.""
"
"on Thursday, July 26th, 2018", Senate Leadership Fund,"Says Sen. Joe Donnelly’s ""family got caught outsourcing jobs to Mexico, and ‘Mexico Joe’ profited up to $80,000.""
"
"on Thursday, July 26th, 2018",Jeff Greene,"""Every time Trump comes here to play golf, Florida taxpayers are paying for it. ... Jeff Greene will put a stop to that day 1.""
"
"on Wednesday, July 25th, 2018",Corey  Stewart,"""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""
"
"on Wednesday, July 25th, 2018", SupremeInsider.com,"""Barack Obama: I'm 'the First Sitting American President to Come From Kenya.'""
"
"on Wednesday, July 25th, 2018",Kelda Helen Roys,"""In Wisconsin, abortion is still a crime.""

 
"
"on Tuesday, July 24th, 2018",Patrick Morrisey,"Says Joe Manchin said ""yes to repealing Obamacare. He lied.""
"
"on Tuesday, July 24th, 2018",Mike DeWine,"""Richard Cordray wants to raise your taxes by reversing President Trump's tax reform.""
"
"on Tuesday, July 24th, 2018",Donald Trump,"""The price of soybeans has fallen 50% since 5 years before the election. A big reason is bad (terrible) trade deals with other countries.""

 
"
"on Friday, July 20th, 2018", Bloggers,"""NASA prepping 17-year-old Alyssa Carson to become first human on Mars.""
"
"on Friday, July 20th, 2018",Leah Vukmir,"Tammy Baldwin ""opposed displaying the flag and reciting the Pledge of Allegiance or singing the National Anthem in our classrooms.""
"
"on Thursday, July 19th, 2018",Ron DeSantis,"Says John Brennan ""was a member of the Communist Party during the Cold War.""
"
"on Tuesday, July 17th, 2018",Sean Hannity,"""In 2016, when Hillary Clinton appeared to have a firm lead in the polls — oh, just before the election, it was President Obama who laughed off any notion that American elections could possibly be tampered with.""
"
"on Tuesday, July 17th, 2018", Bloggers,"""An elderly British politician has been savagely beaten to a bloody pulp by a gang of anti-Trump protestors because he ‘welcomed’ the U.S. president to the United Kingdom.""
"
"on Monday, July 16th, 2018",Bernie Sanders,"Says Supreme Court nominee Brett Kavanaugh’s opinion that a president ""may decline to enforce a statute . . . when the president deems the statute unconstitutional"" is ""contrary to 200 years of Supreme Court precedent.""
"
"on Thursday, July 12th, 2018",Donald Trump,"""The United States was paying for anywhere from 70 to 90 percent of (NATO), depending on the way you calculate.""
"
"on Wednesday, July 11th, 2018",Andrew Napolitano,"Says Brett Kavanaugh is ""pro-Obamacare.""

 
"
"on Wednesday, July 11th, 2018",Chris Murphy,"On assault weapons, Supreme Court nominee Brett Kavanaugh’s position is ""way out of the judicial mainstream, far to the right of even late Justice Scalia.""
"
"on Wednesday, July 11th, 2018",Matt Flynn,"""Foxconn will not face oversight from any federal, state, or local agency to guarantee it complies with our wetlands protection laws.""

 
"
"on Tuesday, July 10th, 2018", Bloggers,"""US representatives promise implement of UN gun-control plans""
"
"on Friday, June 29th, 2018",Kevin Nicholson,"The Iran deal ""handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that.""

 
"
"on Wednesday, June 27th, 2018", Twentyeightmay,"Kurt Russell said that celebrities shouldn't ""get political"" when it comes to Donald Trump.
"
"on Tuesday, June 26th, 2018",Donald Trump,"""We’ve already started (the border wall). We started it in San Diego.""
"
"on Tuesday, June 26th, 2018",Adam Putnam,"Florida taxpayers ""pay tens of millions of dollars a year to feed and house in our prison system criminal illegal aliens.""
"
"on Monday, June 25th, 2018", Bloggers,"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""
"
"on Monday, June 25th, 2018",Brad Parscale,"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""
"
"on Monday, June 25th, 2018",JB Pritzker,"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""
"
"on Thursday, June 21st, 2018", Bloggers,"""Busted: Obama is holding secret meetings to overtake the White House""
"
"on Wednesday, June 20th, 2018",Tim Moore,"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""
"
"on Wednesday, June 20th, 2018",Corey  Stewart,"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""
"
"on Wednesday, June 20th, 2018",Corey  Stewart,"""I have always condemned … any of these white supremacists or bigots or anything like that.""
"
"on Monday, June 18th, 2018",Ted Cruz,"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""

 
"
"on Friday, June 15th, 2018",New  Republican PAC,"Says Bill Nelson voted for ""cuts to Medicare providers"" and voted to weaken ""Social Security protections"" as a U.S. senator.
"
"on Wednesday, June 13th, 2018", Newsflash,"""Trump’s DHS secretary confirms they are preparing to arrest sanctuary city leaders.""
"
"on Wednesday, June 13th, 2018",Donald Trump,"Says Bill Clinton ""spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later.""
"
"on Tuesday, June 12th, 2018",Lou Barletta,"""The city that I was mayor of was 50 percent Latino, and I won with 90 percent of the vote..."" 
"
"on Tuesday, June 12th, 2018",Richard Cordray,"On Mike DeWine's record as attorney general: ""Opioid deaths have tripled on his watch and there have been cuts to funds for first responders and people in the community fighting the crisis.""
"
"on Thursday, June 7th, 2018", President Trump's lawyers,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.
"
"on Thursday, June 7th, 2018",Roy Cooper,"""One legislative Republican’s district gets almost all the school supply funding.""
"
"on Wednesday, June 6th, 2018",Tony Evers,"Says Wisconsin ‘could compel’ Foxconn to install solar panels that would power 33,000 homes.
"
"on Tuesday, June 5th, 2018",Bill Clinton,"""I left the White House $16 million in debt.""
"
"on Friday, June 1st, 2018",Lori Lightfoot,"""We are the only metropolitan area in the country that’s losing population."" 
"
"on Friday, June 1st, 2018",Kathleen Vinehout,"Says Wisconsin ""doesn't even give"" released prison inmates ""a bus ticket to get home.""

 
"
"on Thursday, May 31st, 2018",Christine Quinn,"New York state has the ""second highest millionaires tax in the nation.""
"
"on Thursday, May 31st, 2018",Sherrod Brown,"""Jim Renacci has been a lobbyist even while in Congress"" and ""voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest.""
"
"on Thursday, May 31st, 2018",Ro Khanna,"""Amazon Echo is recording every conversation in a person's home and transmitting it to the cloud.""
"
"on Wednesday, May 30th, 2018",Florida  House Majority Office,"It is a ""myth"" that ""per-student funding only rose by 47 cents this year.""
"
"on Tuesday, May 29th, 2018",Scott Dawson,"""Gov. Kay Ivey gave nearly $1 million of taxpayers’ money to a liberal activist organization that promotes alternative lifestyles and transgenderism.""
"
"on Friday, May 25th, 2018",Scott Wagner,"Gov. Wolf is trying to implement ""a severance tax that would be financed by Pennsylvania’s working class""
"
"on Thursday, May 24th, 2018",Nancy  Pelosi,"A recent spending bill had at least ""$1.6 billion in there ... for schools to give them an opportunity to secure them.""
"
"on Wednesday, May 23rd, 2018", Senate Democrats,"""El precio de combustible ha aumentado un 25% este año"" / ""The price of gas has increased 25% this year.""
"
"on Wednesday, May 23rd, 2018",Andy Gronik,"""I’ve lived"" in Milwaukee ""all 61 years of my life.""

 
"
"on Monday, May 21st, 2018",Mo Brooks,"""You’re going to have an increase in the amount of ice in Antarctica because of global warming.""
"
"on Thursday, May 17th, 2018",Keith Faber,"""Thanks to the strong charter school reforms put in place while I was Senate President"" the online charter school ECOT ""was caught and is out of business.""

 
"
"on Wednesday, May 16th, 2018",Randy Bryce,"Says he’s not a politician.
"
"on Tuesday, May 15th, 2018",Jeff Sessions,"A legal settlement that reined in Chicago police ""resulted in approximately 236 additional victims killed and over 1,100 additional shootings in 2016 alone.""
"
"on Tuesday, May 15th, 2018",Donald Trump,"Says of MS-13 gang members, ""We are getting them out of our country by the thousands.""
"
"on Tuesday, May 15th, 2018",Patrick Morrisey,"""If Joe Manchin had his way, Judge Gorsuch never would have been able to get a vote.""
"
"on Monday, May 14th, 2018",Jacky Rosen,"Says Dean Heller ""has voted for a GOP bill that funded efforts to revive Yucca Mountain.""

 
"
"on Monday, May 7th, 2018",Donald Trump,"""I doubled my African-American poll numbers. We went from 11 to 22 in one week.""
"
"on Monday, May 7th, 2018",Mahlon Mitchell,"Says he was ""instrumental to passing two (recent) pieces of legislation that were a huge victory for firefighters across the state.""
"
"on Monday, April 30th, 2018",Don Blankenship,"Says illegal immigration is ""costing us $130 billion a year to house and feed and give benefits to people that shouldn’t be even in the country.""
"
"on Friday, April 27th, 2018",Ron Johnson,"""We have laws on the books where people can walk right up to our ports of entry, say ‘I have a credible fear of persecution,’ and we bring them in. We don’t send them back.""
"
"on Thursday, April 26th, 2018",For Our Future Florida,"Says Florida Gov. Rick Scott ""just signed a bill that could make most of Florida’s beaches private.""
"
"on Thursday, April 26th, 2018",Oath Keepers,"""California State Assembly bill would ban the (sale of the) Bible!""

 
"
"on Tuesday, April 24th, 2018", Newstarget,"""USDA approves slaughterhouses producing horse meat for human consumption""
"
"on Tuesday, April 24th, 2018",Greg Abbott,"Says that as of March 2018 compared with 2017, ""there’s been a more than 200 percent increase in the number of people who are apprehended coming across the border. And, I’ll tell you this, there’s been a more than 200 percent increase in apprehension of heroin coming across the border.""
"
"on Tuesday, April 24th, 2018",Dean Heller,"Says Jacky Rosen promised ""to repeal middle-class tax cut.""
"
"on Friday, April 20th, 2018", Republican Party of Florida,"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""
"
"on Friday, April 20th, 2018",Tony Evers,"Says that despite a recent increase in school funding, Scott Walker ""has taken over a billion dollars from the public schools.""

 
"
"on Wednesday, April 18th, 2018",Charles Schumer,"In the wake of the Republican-backed tax bill, ""more than 100,000 American workers have already been laid off in 2018.""
"
"on Wednesday, April 18th, 2018",Evan Jenkins,"""In Congress, (Patrick) Morrisey wrote the health care law giving free health care to illegals.""
"
"on Friday, April 13th, 2018",Tina Smith,"""On average, American women only earn 80 cents for every dollar a man earns for doing the same job.""
"
"on Friday, April 13th, 2018",Todd Rokita,"""Luke Messer? He plotted with the Never-Trumpers to steal the nomination from President Trump.""
"
"on Thursday, April 12th, 2018",Jonathan Saenz,"Says that in the U.S. Capitol, ""Stephen F. Austin’s and Sam Houston’s statues"" are ""the only ones holding a rifle or a sword.""
"
"on Thursday, April 12th, 2018",Jon “Bowzer”  Bauman,"""Rick Scott wants to destroy Social Security by privatizing it.""
"
"on Wednesday, April 11th, 2018",Arizona Democratic Party,"""Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent. Then she got paid $42,000 by the very corporations she allowed to sell your personal info.""
"
"on Wednesday, April 11th, 2018",Scott Walker,"Says ""Eric Holder and his group came in and made"" the Wisconsin Supreme Court race ""highly partisan.""
"
"on Tuesday, April 10th, 2018",Donald Trump,"EPA administrator Scott Pruitt's short-term rental ""was about market rate.""
"
"on Tuesday, April 10th, 2018",Donald Trump,"Says Scott Pruitt’s security spending was ""somewhat more"" than his predecessor.
"
"on Tuesday, April 10th, 2018",JB Pritzker,"A recent stomach virus outbreak at the beleaguered Quincy Veterans’ Home shows Gov. Bruce Rauner ""is letting persistent health issues jeopardize the wellbeing of our nation’s heroes.""
"
"on Monday, April 9th, 2018",Donald Trump,"""This will be the last time — April — that you’re going to (fill out) that old-fashioned, big, lots of pages, complicated tax form. Because next April you’re going to, in many cases, (file) one page, one card. It’s going to be very, very different. Very, very different.""
"
"on Friday, April 6th, 2018", Giffords,"""Paul Ryan has blocked all action to strengthen our gun laws.""

 
"
