statement_edition,statement_source,statement_text
"on Tuesday, September 18th, 2018", Bloggers,"""Arnold Schwarzenegger: 'I would be a better president than Trump ...2020 wait for me do you agree??""
"
"on Tuesday, September 18th, 2018",Donald Trump,"Says 3,000 people ""did not die"" in two hurricanes that hit Puerto Rico. That death toll estimate was ""done by Democrats.""
"
"on Monday, September 17th, 2018",Kwame Raoul,"Says ""we know"" Erika Harold would ""discriminate against a loving gay couple who want to adopt a child, favoring an abusive straight couple instead.""
"
"on Friday, September 14th, 2018",Jeff Williams,"The new Apple Watch Series 4 includes ""the first ECG product offered over-the-counter directly to consumers.""
"
"on Friday, September 14th, 2018", National Republican Congressional Committee,"Scott Wallace wants to tax families of five for 'irresponsible breeding'
"
"on Thursday, September 13th, 2018",Texans Are,"Says Beto O’Rourke voted ""against body armor for Texas sheriffs patrolling the border.""

 
"
"on Thursday, September 13th, 2018",Steve Chabot,"Says Aftab Pureval is ""lying"" about his office’s ""$400,000 projected deficit.""

 
"
"on Tuesday, September 11th, 2018",Corey  Stewart,"""It is only under President Trump that we have become the largest producer of oil and gas resources.""

 
"
"on Monday, September 10th, 2018",Kamala Harris,"Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered ""abortion-inducing drugs.""
"
"on Sunday, September 9th, 2018",Bruce Rauner,"""Every state that has put in a graduated income tax, the middle class always pays more.""
"
"on Friday, September 7th, 2018", Congressional Leadership Fund,"""Your family"" will pay $2,500 ""after Kara Eastman eliminates your tax cut.""
"
"on Thursday, September 6th, 2018",Donald Trump,"""We’re making (Medicare) stronger. We’re making Social Security stronger.""

 
"
"on Thursday, September 6th, 2018",Ron DeSantis,"Says Andrew Gillum has a ""far left socialist platform.""
"
"on Wednesday, September 5th, 2018",Ted Cruz,"Says Beto O’Rourke said he’s grateful that people are burning or desecrating the American flag.
"
"on Wednesday, September 5th, 2018",Donald Trump,"""Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don’t know why Washington politicians don’t change libel laws?""
"
"on Thursday, August 30th, 2018", Americans for Prosperity,"As Tennessee governor, Phil Bredesen ""supported higher taxes on us. Higher gas taxes. Higher sales taxes.""

 

 
"
"on Thursday, August 30th, 2018",Tony Evers,"Wisconsin is ""49th out of 50 states in infrastructure.""

 
"
"on Wednesday, August 29th, 2018",Donald Trump,"Says ""96 percent of (Google News) results on ‘Trump News’ are from National Left-Wing Media.""
"
"on Tuesday, August 28th, 2018",Rush Limbaugh,"""It appears that the (Jacksonville) shooter was part of the Trump 'Resistance'.""
"
"on Monday, August 27th, 2018", Bloggers,"""Black business ownership jumped 400% in one year.""
"
"on Friday, August 17th, 2018", teaparty.org,"""Pelosi sinks to new low, tells Dems: if you have to lie to voters to win, do it.""
"
"on Friday, August 17th, 2018",Tammy Baldwin,"Says the Trump administration ""has banned the CDC even using the word ‘transgender.’ ""
"
"on Wednesday, August 15th, 2018",Sarah  Huckabee Sanders,"""President Trump in his first year and a half has already tripled what President Obama did (for African-American employment) in eight years.""
"
"on Wednesday, August 15th, 2018",Marsha Blackburn,"""Hospitals are closing in rural America because they don't have access to high-speed internet.""
"
"on Tuesday, August 14th, 2018",Jeff Denham,"China has ""not acted so well with our elections. They’ve tampered with our elections quite a bit.""
"
"on Tuesday, August 14th, 2018",Donald Trump,"Says Ohio Gov. John Kasich is ""very unpopular.""
"
"on Wednesday, August 8th, 2018",Leah Vukmir,"""I have always been there with"" Donald Trump.

 
"
"on Wednesday, August 8th, 2018",Kevin Nicholson,"Says Leah Vukmir said: ""I’m not endorsing Donald Trump.""

 
"
"on Tuesday, August 7th, 2018",Greg Abbott,"Says Winston Churchill said, ""The fascists of the future will call themselves anti-fascists.""
"
"on Monday, August 6th, 2018",Donald Trump,"""California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amount of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.""
"
"on Monday, August 6th, 2018",Tony Evers,"""Since Scott Walker has been our governor, we’ve gone from 50 percent state funding for the"" University of Wisconsin System ""to 15 percent.""
"
"on Monday, August 6th, 2018", AmericanJournalReview.com,"""James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)""
"
"on Sunday, August 5th, 2018",JB Pritzker,"""We have the most educated … workforce in the entire nation."" 
"
"on Thursday, August 2nd, 2018",Donald Trump,"""U.S. Steel just announced that they are building six new steel mills.""
"
"on Wednesday, August 1st, 2018",Alexandria Ocasio-Cortez,"""Just last year we gave the military a $700 billion budget increase, which they didn’t even ask for.""
"
"on Wednesday, August 1st, 2018",  Infowars,"""Revealed: UN plan to flood America with 600 million migrants.""
"
"on Tuesday, July 31st, 2018",Larry Kudlow,"""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""
"
"on Monday, July 30th, 2018",Donald Trump,"""Wow, highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan.""
"
"on Monday, July 30th, 2018",Doug La Follette,"Says he’s been Wisconsin secretary of state ""around 25 years.""

 
"
"on Friday, July 27th, 2018",Roland Gutierrez,"Says Pete Gallego canceled a ""planned meeting with the families of Sandy Hook victims.""
"
"on Thursday, July 26th, 2018",Tony Evers,"""I’m the first Democrat to ever lead Scott Walker in an election year.""

 
"
"on Wednesday, July 25th, 2018",Ted Cruz,"Says Beto O’Rourke is ""the only candidate to the U.S. Senate to call for"" impeaching President Donald Trump.


 
"
"on Wednesday, July 25th, 2018", Bloggers,"ABC News recently banned reporters from wearing American flag lapel pins on air.
"
"on Wednesday, July 25th, 2018",Jeanine  Pirro,"Says Deputy Attorney General Rod Rosenstein announced in February that ""the Russia collusion investigation is over.""
"
"on Tuesday, July 24th, 2018",Jessica Morse,"Says Congressman Tom McClintock, R-Calif., ""has authored three laws since he’s been in office; two renamed post offices.""
"
"on Tuesday, July 24th, 2018",Hugh Hewitt,"Says FBI agent Peter Strzok’s hearing confirmed Republican Congressman Jim Jordan’s theory about how the Justice Department got the Steele dossier.
"
"on Monday, July 23rd, 2018",Kirstjen Nielsen,"""There are billboards in Central America in the Northern Triangle countries advertising how to grab a kid to get into the United States illegally.""
"
"on Monday, July 23rd, 2018",Donald Trump,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.
"
"on Monday, July 23rd, 2018",Kelda Helen Roys,"Wisconsin lost ""almost 4,000 manufacturing jobs in 2017.""
"
"on Thursday, July 19th, 2018", Bloggers,"""Hillary in hiding as police discover dead body hidden in Huma Abedin’s dumpster.""
"
"on Thursday, July 19th, 2018", Bloggers,"""Puerto Rico mayor facing fraud charges over $3M in federal disaster relief""
"
"on Tuesday, July 17th, 2018",Donald Trump,"""The Electoral College is much more advantageous for Democrats.""
"
"on Monday, July 16th, 2018",Donald Trump,"""The servers of the Pakistani gentleman that worked on the DNC"" are ""missing.""
"
"on Monday, July 16th, 2018", Bloggers,"""NASA will pay you $100,000 to stay in bed for 60 days!""
"
"on Monday, July 16th, 2018",Juliana Stratton,"Gov. Bruce Rauner has ""created no jobs over the past three years.""
"
"on Thursday, July 12th, 2018",Kendall Scudder,"""Bob Hall never successfully passed a bill."" 
"
"on Thursday, July 12th, 2018", Bloggers,"""Shocking Video Emerges of Obama Mocking God and the Bible.""
"
"on Wednesday, July 11th, 2018",Donald Trump,"""Many countries (in NATO) owe us a tremendous amount of money for many years back, where they’re delinquent, as far as I’m concerned, because the United States has had to pay for them.""
"
"on Wednesday, July 11th, 2018",Danielle Pletka,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""
"
"on Tuesday, July 10th, 2018",Raul Labrador,"Immigrants ""can show up at any embassy or consulate abroad"" to make their asylum claims.
"
"on Tuesday, July 10th, 2018", Bloggers,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""
"
"on Monday, July 9th, 2018",Donald Trump,"""I have watched ICE liberate towns from the grasp of MS-13.""
"
"on Monday, July 9th, 2018",Rahm Emanuel,"""Chicago is experiencing right now the highest employment since 1950.""
"
"on Friday, July 6th, 2018",Alexandria Ocasio-Cortez,"""ICE is required to fill 34,000 beds with detainees every single night and that number has only been increasing since 2009.""
"
"on Thursday, July 5th, 2018", Diamond and Silk,"""Obama secretly gave citizenship to 2,500 Iranians as part of nuke deal.""
"
"on Thursday, July 5th, 2018", Viral image,"""39% of All California Students are illegals.""
"
"on Thursday, July 5th, 2018", Viral image,"""More than 66% of ALL births in California are to illegals on Medi-Cal.""
"
"on Thursday, July 5th, 2018",Scott Walker,"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""



"
"on Thursday, July 5th, 2018",Rick Scott,"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.
"
"on Monday, July 2nd, 2018",Donald Trump,"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""
"
"on Monday, July 2nd, 2018",Donald Trump,"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""
"
"on Monday, July 2nd, 2018", Bloggers,"""Clinton campaign official arrested by FBI on child rape/trafficking charges""
"
"on Monday, July 2nd, 2018",Jeff Sessions,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""
"
"on Monday, July 2nd, 2018",Evelyn Sanguinetti,"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""
"
"on Friday, June 29th, 2018", Bloggers,"""Maxine Waters Is Getting Criminally Charged!""
"
"on Thursday, June 28th, 2018", Bloggers,"""Twitter caught leaking Donald Trump’s private messages in undercover sting.""
"
"on Thursday, June 28th, 2018", Bloggers,"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""
"
"on Wednesday, June 27th, 2018", The Houston Post,"""Red Hen owner just issued sick threat to Sarah Sanders""
"
"on Tuesday, June 26th, 2018", Bloggers,"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""
"
"on Monday, June 25th, 2018",  AFSCME,"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.

 
"
"on Friday, June 22nd, 2018",Ivanka Trump,"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""
"
"on Thursday, June 21st, 2018", Bloggers,"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""
"
"on Tuesday, June 19th, 2018",Matt  Schlapp,"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""
"
"on Monday, June 18th, 2018",Donald Trump,"""Crime in Germany is way up.""
"
"on Monday, June 18th, 2018", YourNewsWire.com,"""Senate report admits Clinton ‘gifted’ children to human traffickers""
"
"on Monday, June 18th, 2018",Bruce Rauner,"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.
"
"on Friday, June 15th, 2018", Tweets,"Say a boy was 'caged' in a wire enclosure.
"
"on Thursday, June 7th, 2018", Bloggers,"""New law (in California) makes it illegal to shower and do laundry on same day""
"
"on Wednesday, June 6th, 2018",Ted Cruz,"Says ""Rosie O’Donnell apparently committed the same offense five times, five times, when she broke the identical law that Dinesh (D'Souza) was prosecuted for.""
"
"on Tuesday, June 5th, 2018", Bloggers,"""Starbucks CEO: ‘If You Support Traditional Marriage We Don’t Want Your Business’""
"
"on Tuesday, June 5th, 2018",Donald Trump,"Philadelphia Eagles players stayed ""in the Locker Room for the playing of our our National Anthem"" or were ""kneeling.""
"
"on Monday, June 4th, 2018",Kevin Cramer,"Says Heidi Heitkamp has ""never been interested in"" regulatory relief ""until all of a sudden I become a candidate for the Senate and put pressure on.""
"
"on Monday, June 4th, 2018",Patrick McHenry,"""Americans received the biggest tax cut in history last year.""
"
"on Thursday, May 31st, 2018",Donald Trump,"""We got $6 billion for opioid and getting rid of that scourge that’s taking over our country. And the numbers are way down.""

 
"
"on Wednesday, May 30th, 2018",Donald Trump,"Speaking of immigration cases, says, ""We have thousands of judges.""
"
"on Tuesday, May 29th, 2018",Donald Trump,"A ""horrible law"" requires that children be separated from their parents ""once they cross the Border into the U.S.""
"
"on Friday, May 25th, 2018",Sydney Batch,"""Yesterday afternoon the Republicans in the General Assembly used the nuclear option to pass North Carolina's over $20 billion budget.""
"
"on Thursday, May 24th, 2018", Bloggers,"""Actor Brad Pitt: ‘Trump is not my president, we have no future with this…’""
"
"on Thursday, May 24th, 2018", Bloggers,"Says ""Obama paid FBI informant over $1 million to do it to Trump.""
"
"on Thursday, May 24th, 2018",Donald Trump,"Says ""Nancy Pelosi came out in favor of MS-13.""
"
"on Wednesday, May 23rd, 2018", Instagram posts,"Says a young Texas rapper charged with capital crimes faces the death penalty but the alleged Santa Fe High School shooter faces prison and then parole after 40 years.
"
"on Wednesday, May 23rd, 2018",Donald Trump,"Says James Clapper said ""that the FBI was spying on (Trump's) campaign.""

 
"
"on Wednesday, May 23rd, 2018", YourNewsWire.com,"""CNN to permanently close its doors as ratings plunge 30 percent.""
"
"on Tuesday, May 22nd, 2018",David Rouzer,"""The #irandeal ultimately would have guaranteed Iran a nuclear bomb capable of reaching the US.""
"
"on Tuesday, May 22nd, 2018",Oliver North,"Perpetrators of school shootings ""have been drugged in many cases … many of these young boys have been on Ritalin since they were in kindergarten.""
"
"on Thursday, May 17th, 2018", True American,"""BREAKING: 60 people just found dead in Ohio""
"
"on Wednesday, May 16th, 2018",John Chiang,"Antonio Villaraigosa's ""recklessness (as mayor of Los Angeles)  ... left no funding to test 7,000 rape kits, putting public safety at risk.""
"
"on Wednesday, May 16th, 2018",Steve Adler,"Says Austin is ""creating more jobs than any other city in the country.""

 
"
"on Wednesday, May 16th, 2018",Lupe Valdez,"""There are some counties in Texas where the first day of hunting, you have to shut down the schools because people are going to go hunting.""
"
"on Tuesday, May 15th, 2018",  Stokes County school teacher,"""I am roughly being paid $53 a day to educate your child.""
"
"on Tuesday, May 15th, 2018", The Political Voice,"""Official: Rudy Giuliani officially resigns, Trump’s legal team on it's last leg.""
"
"on Friday, May 11th, 2018",Nancy  Pelosi,"""Two-thirds of the people who use Medicaid are poor children, but two-thirds of the money is for long-term care for seniors, whether in a facility or at home.""
"
"on Friday, May 11th, 2018",Donald Trump,"A ""catch and release"" immigration policy ""is a Democrat rule, Sherrod Brown, this is a Democrat rule.""
"
"on Friday, May 11th, 2018",Mike Pence," ""Illegal crossings at our southern border have been cut by over 40 percent.""
"
"on Thursday, May 10th, 2018", WashingtonSources,"""Trump votes for death penalty for being gay.""
"
"on Thursday, May 10th, 2018", RevolutionRadio.org,"""Democrats go full tyranny: now demand nationwide gun confiscation from law-abiding Americans ... at gunpoint, of course.""
"
"on Monday, May 7th, 2018", Bloggers,"""Black men arrested In Philadelphia Starbucks settle for $2 million""
"
"on Friday, May 4th, 2018",Hakeem Jeffries,"President Donald Trump’s budget ""threatened to cut $2 trillion from Social Security, Medicare and Medicaid""
"
"on Friday, May 4th, 2018",Rick Scott,"Says Bill Nelson ""voted against requiring Iran to recognize Israel and release American hostages.""
"
"on Friday, May 4th, 2018",Kevin Nicholson,"Says conservative mega-donor Richard Uihlein is a Wisconsin resident.
"
"on Thursday, May 3rd, 2018",Don Blankenship,"""Mitch McConnell was one of the few senators that voted after Tiananmen Square not to have punitive actions against China for human rights violations.""
"
"on Thursday, May 3rd, 2018",Beto O'Rourke,"Says ""precisely zero terrorists, terrorist groups or terror plots have ever been connected with the U.S.-Mexico border to do harm to people within the United States.""
"
"on Thursday, May 3rd, 2018", Patriotnetwork.one,"""Breaking: Czech Republic arms citizens. You can now shoot terrorists on sight.""
"
"on Wednesday, May 2nd, 2018",Ted Cruz,"Says Beto O’Rourke had a ""resolution to legalize all narcotics--including heroin and other deadly opioids.""
"
"on Wednesday, May 2nd, 2018",Donald Trump,"""In seven years that (nuclear) deal will have expired, and Iran is free to go ahead and create nuclear weapons.""

 
"
"on Tuesday, May 1st, 2018", U.S. Chamber of Commerce,"Florida’s ""unemployment is at a record low.""
"
"on Friday, April 27th, 2018",Gavin Newsom,"Gavin Newsom was ""the first to take on the National Rifle Association and win.""
"
"on Tuesday, April 24th, 2018",Ro Khanna,"""Most of our taxes are spent on the so-called ‘War on Terror.’""
"
"on Sunday, April 22nd, 2018",Donald Trump,"Says North Korea has ""agreed to denuclearization.""
"
"on Friday, April 20th, 2018",Duane Hall,"Claims to be endorsed by the Democratic Party.
"
"on Friday, April 20th, 2018", YourNewsWire.com,"""Clinton Email: We must destroy Syria for Israel""
"
"on Tuesday, April 17th, 2018",Andrew Cuomo,"""I think we're actually ahead"" on legalizing marijuana for recreational use in New York state.
"
"on Tuesday, April 17th, 2018",Garry McCarthy,"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.""
"
"on Friday, April 13th, 2018", Bloggers,"""Fox News accidentally puts up a poll graphic that shows how they are the least trusted network.""
"
"on Friday, April 13th, 2018",Antiwar.com  ,"""Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma.""
"
"on Tuesday, April 10th, 2018",Scott Jones,"There are ""paid protesters"" involved in the Stephon Clark demonstrations.
"
"on Monday, April 9th, 2018",Brian Kolb,"This year’s state budget ""continues to direct millions in taxpayer dollars in advertising to the failing Start-Up NY program""
"
"on Friday, April 6th, 2018",Eric Bolling,"""USPS loses $1.46 each Amazon package it delivers.""
"
"on Thursday, April 5th, 2018",Ron Wyden,"""Republicans in Congress are plotting to take away Medicare, Medicaid and Social Security.""
"
"on Thursday, April 5th, 2018", Bloggers,"Says Chuck Schumer said ""it’s racist to only allow citizens to vote.""
"
"on Thursday, April 5th, 2018",Mark Harris,"Rep. Robert Pittenger ""stood against funding for the border wall.""
"
"on Thursday, April 5th, 2018", Political Thinkers,"After attacking Emma Gonzalez, U.S. Rep. Steve King is ""facing arrest.""
"
"on Wednesday, April 4th, 2018",Free Thought Project,"""It begins: Florida police now confiscating guns from people with no due process.""
"
"on Tuesday, April 3rd, 2018", The Trump Talks,"""Breaking! Terrorist attacks Trumps at Mar A Lago.""
"
"on Monday, April 2nd, 2018",Donald Trump,"""Only fools, or worse, are saying that our money losing Post Office makes money with Amazon. THEY LOSE A FORTUNE, and this will be changed.""
"
"on Friday, March 30th, 2018", Bloggers,"BREAKING: Trump Just Ended Welfare For One HUGE Group For 5 Years!
"
"on Friday, March 30th, 2018", Bloggers,"""FBI RAIDS OBAMA – Find Massive Secret That Was Hidden For YEARS.""
"
"on Friday, March 30th, 2018",Project Republic,"""Emma Gonzalez bullied school shooter, isn’t sorry; then retweets message blaming ‘white boys’ entitlement’ as cause of all school shootings""
"
"on Friday, March 30th, 2018", Bloggers,"NASA Has Just Confirmed Earth Has A New Moon
"
"on Tuesday, March 27th, 2018",Mike Gibbons,"""A lot"" of Sen. Sherrod Brown’s policies ""reflect that interest in Marxism"" and a fondness for communism.
"
"on Friday, March 23rd, 2018",Andrew Cuomo,"""The only housing authority in the state that we have actually given money to is NYCHA.""
"
"on Friday, March 23rd, 2018",Sean Hannity,"Says 642,000 crimes were committed against Texans by criminal immigrants in a recent seven-year period.
"
"on Friday, March 23rd, 2018",Mike Collier,"""The state is set to recapture an additional $500 million in Robin Hood payments from taxpayers and not one penny of it will go to public education in Texas.""
"
"on Thursday, March 22nd, 2018",Donald Trump,"Says Conor Lamb ""ran on a campaign that said very nice things about me.""
"
"on Wednesday, March 21st, 2018",Bruce Rauner,"""Newspapers have framed this election as my fight against the Illinois mafia.""
"
"on Wednesday, March 21st, 2018",Brian Kemp,"Says he ""fought Obama twice and won to stop illegal immigrants from voting.""  
"
"on Tuesday, March 20th, 2018",Dennis Kucinich,"The default rate for college students has grown from 40 percent 10 years ago to about 50 percent today, and ""perhaps as many as 800,000 young Ohioans are facing default on their student loans.""
"
"on Monday, March 19th, 2018",Ryan Zinke,"A Trump administration proposal for the Interior Department ""is the largest investment in our public lands infrastructure in our nation's history.""
"
"on Friday, March 16th, 2018", Bloggers,"Shoes on the Capitol lawn represent 7,182 students who were killed in U.S. schools since 2012.
"
"on Thursday, March 15th, 2018",Donald Trump,"In Japan, ""they take a bowling ball from 20 feet up in the air and they drop it on the hood of the car. And if the hood dents, then the car doesn't qualify...It's horrible, the way we're treated.""
"
"on Thursday, March 15th, 2018", Bloggers,"""Democrats announce they will abolish ICE if they win 2020 election.""

 
"
"on Thursday, March 15th, 2018",Ted Cruz,"Says Beto O’Rourke wants ""open borders and wants to take our guns.""
"
"on Thursday, March 15th, 2018",Mark Harris,"Rep. Pittenger is ""constantly rated as one of the most liberal Republicans in Congress.""
"
"on Wednesday, March 14th, 2018", Liberty Headlines,"""Seattle police begin gun confiscations: no laws broken, no warrant, no charges.""
"
"on Wednesday, March 14th, 2018", Bloggers,"""Singer Miley Cyrus: ‘Trump fans are destroying my career, I can’t stand them and I decided to move to…’""
"
"on Monday, March 12th, 2018",Leah Vukmir,"Says Sen. Tammy Baldwin ""claims to support a 'Buy America' philosophy, but her actions speak louder than her empty words.""
"
"on Friday, March 9th, 2018",Donald Trump,"""When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.""
"
"on Wednesday, March 7th, 2018",Donald Trump,"""Democrats are nowhere to be found on DACA.""
"
"on Tuesday, March 6th, 2018", Realtimepolitics,"""Joe Biden just confirmed that he is running for president in 2020 and it has America applauding!""
"
"on Tuesday, March 6th, 2018",David Simmons,"""Adolf Hitler confiscated all the weapons — took all the weapons, had a registry of everybody — and then on the night of June 30, 1934, sent out his secret police and murdered all of his political opponents.""
"
"on Friday, March 2nd, 2018",Michael Williams,"Says Delta offers a discount to Planned Parenthood.
"
"on Thursday, March 1st, 2018",Donald Trump,"""You take Pulse nightclub. If you had one person in that room that could carry a gun and knew how to use it, it wouldn’t have happened, or certainly to the extent that it did.""
 
"
"on Wednesday, February 28th, 2018",Chris Kennedy,"""Zero percent of kids in Cairo are college-ready.""
"
"on Wednesday, February 28th, 2018",Rick Scott,"Says Sen. Bill Nelson ""hasn’t done anything on gun safety or school safety, and nothing on gun control.""
"
"on Wednesday, February 28th, 2018",Joel Giambra,"""I'm the only candidate on this stage who has actually cut taxes.""
"
"on Monday, February 26th, 2018",Ryan Zinke,"""Under the previous administration it was … $100 to fill a car. American energy has delivered. Now it's $60. That’s $40 you have in your pocket … that you wouldn’t have.""
"
"on Friday, February 23rd, 2018",Matt Caldwell,"""A law enforcement officer is more likely to commit a crime than a CWP (concealed weapons permit) holder.""
"
"on Tuesday, February 20th, 2018",Bernie Sanders,"""Forty percent of the guns in this country are sold without any background checks.""
"
"on Friday, February 16th, 2018",George P. Bush,"Says he’s a ""retired U.S. Navy officer.""
"
"on Friday, February 16th, 2018",Bobbie Richardson,"""The president is cutting the CDC budget by 80%.
"
"on Thursday, February 15th, 2018",Tim Burns,"Says he is ""one of America's leading consumer lawyers.""

 
"
"on Tuesday, February 13th, 2018",Hogan Gidley,"""The president has been very clear. All forms of abuse, all forms of battery against women are deplorable and disgusting. ... He’s said that multiple times in the past.""
"
"on Monday, February 12th, 2018",Matt Gaetz,"The ""FBI was actively investigating Hillary Clinton's use of a private email server"" on Sept. 2, 2016.
"
"on Monday, February 12th, 2018", Bloggers,"""Obama did in fact unconstitutionally spy on Trump throughout the presidential election.""
"
"on Monday, February 12th, 2018",Jeanne  Ives,"""Rauner made you pay for abortions in all nine months of pregnancy.""
"
"on Thursday, February 8th, 2018", lovethispic.com,"""Smoking in cars with children is illegal starting January 30, 2018.""
"
"on Wednesday, February 7th, 2018",Travis Allen,"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""
"
"on Tuesday, February 6th, 2018", Say Anything Blog,"""Heitkamp High-Fives Schumer After Voting Against 20-Week Abortion Ban.""
"
"on Monday, February 5th, 2018",Phil Ting,"""Trump’s tax reform plan was nothing more than a middle-class tax increase.""
"
"on Thursday, February 1st, 2018", Breitbart,"""Fall River, Massachusetts was not 'built by immigrants.' ""
"
"on Tuesday, January 30th, 2018",Donald Trump,"The immigration visa lottery ""randomly hands out green cards without any regard for skill, merit, or the safety of American people.""
"
"on Tuesday, January 30th, 2018",Donald Trump,"""We enacted the biggest tax cuts and reforms in American history.""
"
"on Monday, January 29th, 2018",Bruce Rauner,"""No private business was conducted on public property. That issue is a contract dispute.""
"
"on Friday, January 26th, 2018",Jeanne  Ives,"Says President Barack Obama advocated ""fathers in the home"" as the solution to gun violence.
"
"on Thursday, January 25th, 2018",Ron DeSantis,"In one year, the United Nations ""did 24 resolutions and 20 of them were against Israel.""
"
"on Wednesday, January 24th, 2018",Donald Trump,"Says ""22 to 24 people"" came into the United States due to family connection with suspect in the October 2017 New York City terror attack.
"
"on Monday, January 22nd, 2018",Rahm Emanuel,"

""Chicago now has the highest employment in the private sector in the history of the city.""


"
"on Wednesday, January 17th, 2018",Andrew White,"""Fifty percent of our new"" Texas ""teachers don’t have college degrees.""
"
"on Wednesday, January 17th, 2018",Andrew Cuomo,"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""
"
"on Wednesday, January 17th, 2018",Republican News,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""
"
"on Tuesday, January 16th, 2018", AmericanNews.com,"""Oprah tells Fox News host ‘all white people have to die.’""
"
"on Friday, January 12th, 2018",Robert Chody,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""
"
