statement_edition,statement_source,statement_text
"on Sunday, October 28th, 2018",Peter Roskam,"Says the Washington Post fact-checked a charge he opposed pre-existing condition protections for health insurance ""and gave that Four Pinocchios.""
"
"on Friday, October 26th, 2018", Bloggers,"A photo shows a Mexican police officer ""brutalized by members of this caravan as they attempt to FORCE their way into Mexico.""

 
"
"on Friday, October 26th, 2018", Bloggers,"""‘MAGA bomber’ identified as former CNN employee who donated to heavily to Hillary Clinton.""

 
"
"on Friday, October 26th, 2018", Bloggers,"The migration of Hondurans toward the United States ""was funded by Democrat activists.""

 
"
"on Friday, October 26th, 2018", Bloggers,"""If a statue of a person in the park on a horse has both front legs in the air, the person died in battle. If the horse has one front leg in the air, the person died as a result of wounds received in battle. If the horse has all four legs on the ground, the person died of natural causes.""

 
"
"on Thursday, October 25th, 2018", Bloggers,"""The illegal caravan of immigrants are flying the Honduras flag as they burn the American flag as they march towards the USA wanting asylum!""
"
"on Thursday, October 25th, 2018", worldnewsdailyreport.com,"""Canadians face major donut shortage after first day of cannabis legalization.""
"
"on Thursday, October 25th, 2018", Bloggers,"If you get a flu shot, you're ""poisoning yourself.""
"
"on Wednesday, October 24th, 2018", Future45,"Voting for ""any Democrat"" gets you ""socialism ... undefended open borders ... immediate tax increases ... 100 percent government-run health care ...""
"
"on Wednesday, October 24th, 2018", Bloggers,"""Canada Pays Off Entire Federal Debt One Day After Marijuana Legalization""
"
"on Wednesday, October 24th, 2018",Donald Trump,"Says a recent opioid bill that reached his desk had ""very little Democrat support.""
"
"on Tuesday, October 23rd, 2018",Donald Trump,"In California, ""they're rioting now"" over sanctuary cities.
"
"on Tuesday, October 23rd, 2018",Donald Trump,"Saudi Arabia has ordered $450 billion, ""$110 billion of which is a military order,"" producing ""over a million jobs.""
"
"on Tuesday, October 23rd, 2018", Bloggers,"""Man dug tunnel from home to the pub and drank every night while his wife slept.""

 
"
"on Monday, October 22nd, 2018",Donald Trump,"Says Democrats ""want to give (undocumented immigrants) cars.""
"
"on Monday, October 22nd, 2018", Bloggers,"""Surgeon who exposed Clinton Foundation corruption in Haiti found dead in apartment with stab wound to chest."" — Intellihub

 
"
"on Thursday, October 18th, 2018", Bloggers,"""White people are so 1960’s. Sometimes the only thing that keeps me going is the fact that they will be blended out by the time I am 30. Imagine a world without white people. —Malia Obama’s midterm speech exam""
"
"on Wednesday, October 17th, 2018", worldnewsdailyreport.com,"Says a pro-choice activist in California 'proudly breaks world record by getting her 27th abortion'
"
"on Tuesday, October 16th, 2018", Bloggers,"Says Detroit-area law enforcement is searching for a 'vigilante' serial killer after three pedophiles were killed in one week
"
"on Monday, October 15th, 2018",Andrew Gillum,"""Of course you've got a low unemployment rate when people've got to work two and three jobs just to make ends meet.""
 
"
"on Thursday, October 11th, 2018",Joshua Feuerstein,"Says #MeToo movement sign suggested assaulting First Lady Melania Trump.
"
"on Wednesday, October 10th, 2018", Bloggers,"Says Tom Hanks was photographed wearing a T-shirt with an anti-Trump message that begins, ""I was going to be a Trump voter for Halloween but…""
"
"on Monday, October 8th, 2018", Viral image,"Says a photo shows Bill Clinton and Christine Blasey Ford posing for a camera and smiling together.
"
"on Monday, October 8th, 2018", Viral image,"Says Socrates said, ""When the debate is lost, slander becomes the tool of the losers.""
"
"on Friday, October 5th, 2018",Donald Trump,"""Some of the Democrats have been talking about ending (coverage for) pre-existing conditions.""
"
"on Friday, October 5th, 2018",Mike Bost,"Says Brendan Kelly ""spent his career"" supporting Nancy Pelosi.
"
"on Thursday, October 4th, 2018",Lanny Lancaster,"Viral internet photo shows a young Christine Blasey Ford
"
"on Wednesday, October 3rd, 2018", Viral image,"Says a photo shows Barack Obama holding a Michelle Obama 2020 t-shirt.
"
"on Tuesday, October 2nd, 2018", Bloggers,"Says a photo shows Brett Kavanaugh passed out.
"
"on Tuesday, October 2nd, 2018", Top Stories USA,"""Christine Blasey Ford claims that she called a friend on her cell phone after the ‘attack’ in or around 1982.""
"
"on Thursday, September 27th, 2018",Rick Scott,"Says Sen. Bill Nelson is a socialist.
"
"on Wednesday, September 26th, 2018", Bloggers,"Says Christine Blasey Ford and her lawyer were photographed with George Soros, Hillary Clinton.
"
"on Tuesday, September 25th, 2018", Bloggers,"Says Brett ""Kavanaugh accuser Christine Blasey exposed for ties to Big Pharma abortion pill maker… effort to derail Kavanaugh is plot to protect abortion industry profits.""
"
"on Monday, September 24th, 2018", Bloggers,"Says that Dianne Feinstein said, ""When the gunman realizes that nobody else is armed, he will lay down his weapons and turn himself in…. that’s just human nature.""
"
"on Monday, September 24th, 2018", Bloggers,"Says that Dianne Feinstein said that ""all vets are mentally ill in some way and government should prevent them from owning firearms.""
"
"on Friday, September 21st, 2018", Bloggers,"""Kavanaugh accuser’s brother’s firm linked to Fusion GPS.""
"
"on Tuesday, September 18th, 2018", Viral image,"Says CNN’s Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.
"
"on Monday, September 17th, 2018", Viral image,"Says Ted Cruz said, ""When gays stayed hidden we had no mass shootings; we had no public nudity. Society was polite. Now anything and everything goes and I blame them.""
"
"on Monday, September 17th, 2018", Bloggers,"""Couple Arrested For Selling ‘Golden Tickets To Heaven.""
"
"on Friday, September 14th, 2018", Bloggers,"""Malia Obama just got arrested buying cocaine""
"
"on Friday, September 14th, 2018", Bloggers,"Says Barack Obama ""referred to the carnage that took place in Benghazi as a conspiracy theory.""

 
"
"on Wednesday, September 12th, 2018", Bloggers,"""White House ‘Resistance’ mole a fake – NY Times admits they were trolled""
"
"on Monday, September 10th, 2018", Bloggers,"""Miami Dolphins fire 2 kneeling players before pre-season kickoff.""
"
"on Friday, September 7th, 2018",Ken Paxton,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""

 
"
"on Thursday, September 6th, 2018", Bloggers,"Says ""Michael Jordan resigns from the board at Nike-takes ‘Air Jordans’ with him.""
"
"on Wednesday, September 5th, 2018", Bloggers,"""Colin Kaepernick immediately loses Nike endorsement after anti-white rant.""
"
"on Tuesday, September 4th, 2018", Bloggers,"Says ""Sasha Obama’s racist anti-white rant just got her expelled.""
"
"on Tuesday, September 4th, 2018",Leah Vukmir,"Says ""I have been through the gauntlet, when we had riots in that Capitol.""
"
"on Monday, August 27th, 2018", Bloggers,"""John McCain was pardoned for treason""
"
"on Monday, August 27th, 2018",Ann Coulter,"""The Dutch (Afrikaners) were"" in South Africa ""first.""

 
"
"on Monday, August 27th, 2018", Bloggers,"""BREAKING: Sheriff Joe Arpaio will take over (John) McCain’s seat in the Senate.""
"
"on Friday, August 24th, 2018", Bloggers,"""Trump: ‘I am sending troops to South Africa and they will not leave until the killing stop and the land issue resolved.’ ""
"
"on Tuesday, August 21st, 2018", Bloggers,"Says a 79-year-old woman with AK-47 rescued two LAPD officers from a street gang.
"
"on Monday, August 20th, 2018", Bloggers,"""Cops take a knee then walk out on Redskins, leaving them stranded in their locker room overnight.""
"
"on Monday, August 20th, 2018",Rudy Giuliani,"The Trump campaign ""didn’t know"" that Natalia Veselnitskaya ""was a representative of the Russian government. ... I don't even know if they knew she was Russian at the time.""
"
"on Wednesday, August 15th, 2018",Will Hurd,"Says Democratic challenger Gina Ortiz Jones has raised ""more money from Massachusetts than"" from Texas.
"
"on Wednesday, August 15th, 2018", Bloggers,"""VIDEO Kevin Bacon Saying ‘We Are Blessed To Have Donald Trump As Our President’""
"
"on Tuesday, August 14th, 2018", BlueNC,"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""
"
"on Sunday, August 12th, 2018",Peter Roskam,"Says Sean Casten supports ""doubling premiums"" and ""cutting current health care plans.""
"
"on Monday, August 6th, 2018",Rudy Giuliani,"There were ""63 murders this weekend"" in Chicago and Mayor Rahm Emanuel’s legacy is ""more murders in his city than ever before.""
"
"on Friday, August 3rd, 2018",Donald Trump Jr.,"""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar.'""
"
"on Friday, July 20th, 2018", YourNewsWire.com,"""Lisa Page squeals: DNC server was not hacked by Russians.""
"
"on Wednesday, July 18th, 2018", Bloggers,"""Clint Eastwood Leaves His Estate To The Trump 2020 Campaign""

 
"
"on Wednesday, July 18th, 2018",Alexandria Ocasio-Cortez,"""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""
"
"on Wednesday, July 18th, 2018", Bloggers,"Says Queen Elizabeth said, ""Muslim refugees are dividing nationality, I fully agree with Donald Trump we should deport them to avoid bloody terrorist attacks.""
"
"on Wednesday, July 18th, 2018", Bloggers,"""Woman set to testify against Clintons blown up in home explosion.""
"
"on Monday, July 16th, 2018",Vladimir Putin,"Says associates of financier Bill Browder ""sent a huge amount of money, over $400 million, as a contribution to the campaign of Hillary Clinton.""
"
"on Monday, July 16th, 2018",Vladimir Putin,"""The Russian state has never interfered ... into internal American affairs including election process.""
"
"on Monday, July 16th, 2018", Bloggers,"""Giant rats plague New York City as 4 homeless men found eaten alive""
"
"on Friday, July 13th, 2018", Bloggers,"""$1.8 billion Of Soros’ money just intercepted – he could officially go to prison for years""
"
"on Friday, July 13th, 2018", Bling News,"""In 1984, the New York Times said Trump would be our BEST president.""
"
"on Friday, July 13th, 2018",Leah Vukmir,"Says Mark Pocan’s proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would ""eliminate border enforcement.""
"
"on Thursday, July 12th, 2018", YourNewsWire.com,"""Broward County Sheriff fired for lying about Parkland.""
"
"on Thursday, July 5th, 2018", Viral image,"Says Maxine Waters told CNN, ""SCOTUS pick should be illegal immigrant.""
"
"on Tuesday, July 3rd, 2018",Donald Trump,"Sen. Kamala Harris is ""supporting the animals of MS-13.""
"
"on Tuesday, July 3rd, 2018", Viral image,"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""
"
"on Tuesday, July 3rd, 2018",Corey  Stewart,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""
"
"on Monday, July 2nd, 2018", Bloggers,"""George H.W. Bush has died at 94.""
"
"on Monday, July 2nd, 2018",Larry Kudlow,"""The deficit ... is coming down, and it’s coming down rapidly.""
"
"on Friday, June 29th, 2018",Donald Trump,"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""

 
"
"on Friday, June 29th, 2018",Adam Putnam,"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""
"
"on Wednesday, June 27th, 2018", Austin for a Better Future,"Says proposal to use city-owned land for an Austin pro soccer stadium is a ""$1 billion giveaway.""
"
"on Monday, June 25th, 2018", Bloggers,"""NASA announced that it communicated with four races of aliens.""
"
"on Monday, June 25th, 2018", Bloggers,"""Mexico’s Next President Calls for An Invasion Of The US""
"
"on Wednesday, June 20th, 2018",Common Sense News,"Says the ""Pope calls for world wide gun confiscation except for the UN""

 
"
"on Wednesday, June 13th, 2018", Newsflash,"""Breaking: Shep Smith to be canned because he can’t control his hate for Donald Trump.""
"
"on Tuesday, June 12th, 2018", Red State Wave,"""Breaking: Mike Huckabee just fired!""
"
"on Tuesday, June 12th, 2018", YourNewsWire.com,"""Investigators: Anthony Bourdain was killed by Clinton operatives.""
"
"on Friday, June 8th, 2018", Bloggers,"""Mitt Romney: ‘Trump has some very serious emotional problems, he must resign before we…’""
"
"on Thursday, June 7th, 2018",Donald Trump,"Says that people ""went out in their boats to watch"" Hurricane Harvey.
"
"on Friday, June 1st, 2018", Bloggers,"""FOX Network Picks Up ‘Roseanne,’ Saying It Has No Problem With Occasional Racism""
"
"on Wednesday, May 30th, 2018", Viral image,"Says Whoopi Goldberg wore a shirt that shows Donald Trump firing a gun at himself.
"
"on Tuesday, May 29th, 2018",Rod Blagojevich,"""I’m in prison for practicing politics.""
"
"on Tuesday, May 29th, 2018",Donald Trump,"""The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.""
"
"on Thursday, May 24th, 2018", Bloggers,"""USA: Mysterious Nazi submarine from WWII discovered in Great Lakes!""
"
"on Thursday, May 24th, 2018", Conservative Stories,"""Just in: John Kerry facing prison.""
"
"on Wednesday, May 23rd, 2018", Bloggers,"""Hillary Clinton furious at ‘special gift’ Melania Trump sent her from her hospital bed""
"
"on Wednesday, May 23rd, 2018", Bloggers,"""Jeff Sessions Caught Colluding with Obama""
"
"on Monday, May 21st, 2018",Daily World  Update,"""Breaking: Santa Fe killer expresses his love for Obama.""
"
"on Friday, May 18th, 2018",Leah Vukmir,"Says Tammy Baldwin is ""more worried about the mastermind of 9/11"" than supporting CIA director nominee Gina Haspel.

 
"
"on Thursday, May 17th, 2018", Bloggers,"Say Maxine Waters told CNN’s Anderson Cooper that her first act as president would be to ""impeach Donald Trump.""
"
"on Thursday, May 17th, 2018", Bloggers,"""BREAKING NEWS: Donald Trump On His Way To Donate Kidney To Melania Trump.""
"
"on Thursday, May 17th, 2018", Bloggers,"""Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy""
"
"on Thursday, May 17th, 2018", Bloggers,"""Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' ""

 
"
"on Thursday, May 17th, 2018",Tom Palzewicz,"Says Jim Sensenbrenner ""has been in office for 40 years"" and ""he's led on exactly one bill,"" the Patriot Act.
"
"on Tuesday, May 15th, 2018", Bloggers,"Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country.""
"
"on Thursday, May 10th, 2018",Donald Trump,"Says the 2018 defense authorization bill includes raises for the military ""for the first time in 10 years.""
"
"on Thursday, May 10th, 2018", NY Evening News,"""Eric Schneiderman helped NXIVM sell child sex slaves to the Clintons""
"
"on Thursday, May 10th, 2018", The Liberty Raise,"""BREAKING: Queen Elizabeth II Dead At 94""

 
"
"on Thursday, May 10th, 2018", TheNewYorkEvening.com,"""Pope Francis: Gun owners ‘can’t call themselves Christian’""
"
"on Tuesday, May 8th, 2018", Bloggers,"""Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming""
"
"on Monday, May 7th, 2018", The Miami Post,"""Breaking: 3 liberal celebrities arrested for conspiracy to assassinate President Trump.""
"
"on Friday, May 4th, 2018", The Liberty Raise,"""Breaking: Michelle Wolf fired -- Comedy Central apologizes to Sarah Sanders.""
"
"on Friday, May 4th, 2018", Bloggers,"""Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria""
"
"on Friday, May 4th, 2018",Daily World  Update,"""Hillary Clinton killed in monster truck mishap.""
"
"on Thursday, May 3rd, 2018", Bloggers,"""Bill Gates Outlines 2018 Plan To Depopulate The Planet.""
"
"on Wednesday, May 2nd, 2018", YourNewsWire.com,"""Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’""
"
"on Tuesday, May 1st, 2018", The Newly Press,"""Smallville star confesses she sold children to Rothschilds and Clintons.""
"
"on Tuesday, May 1st, 2018",Daily World  Update,"""CNN shocks America, fires ‘journalist’ who made fun of Sarah Sanders’ face""
"
"on Monday, April 30th, 2018", Bloggers," ""You have been selected to take part in our short survey to get 2 Free Alaska Airlines Tickets!""
"
"on Wednesday, April 25th, 2018",LaWana Mayfield,"""I am still waiting for someone to produce pieces of the alleged plane"" that caused the Twin Towers to collapse.
"
"on Wednesday, April 25th, 2018",Nrt Online,"""BREAKING: Nancy Pelosi to resign after new revelations.""
"
"on Wednesday, April 25th, 2018", Bloggers,"""Obama’s Private ‘security’ Company Sets Up Massive Camps Outside 3 Major Cities.""
"
"on Tuesday, April 24th, 2018", Bloggers,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""

 
"
"on Tuesday, April 24th, 2018", Bloggers,"""Apply Now and Win the Canada Diversity Immigration Visa Lottery (DV-2019) Program | Live and Work in Canada.""
"
"on Monday, April 23rd, 2018", Bloggers,"""Allegiant Air is rewarding everyone with 2 free plane tickets to celebrate April Aviation Week!""
"
"on Monday, April 23rd, 2018", Red State Wave,"""Laura Ingraham just fired!!!""
"
"on Monday, April 23rd, 2018", Bloggers,"""Archbishop Desmond Tutu dies while holidaying in Texas""
"
"on Friday, April 20th, 2018", Bloggers,"""British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash.""
"
"on Friday, April 20th, 2018",Donald Trump,"""James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION""
"
"on Friday, April 20th, 2018",Matthew Rosendale,"Says Sen. Jon Tester ""took an income raise in the omnibus bill.""
"
"on Friday, April 13th, 2018", Bloggers,"""Singer Celine Dion Says: ‘I Can’t Even Look At An American Flag Any More, I Hate This Country.’""
"
"on Friday, April 13th, 2018", Bloggers,"The ""moon has more than 250 million citizens."" 
"
"on Friday, April 13th, 2018", Bloggers,"""Obama Announces Bid To Become UN Secretary General""
"
"on Thursday, April 12th, 2018",Science Vibe,"""Dying 78 year old CIA agent admits to killing Marilyn Monroe.""
"
"on Wednesday, April 11th, 2018", Anonymous Caller,"Says that unless the recipient called back about ""your tax filings,"" you ""will be taken into custody by the local cops as there are more serious allegations pressed on your name.""

 
"
"on Wednesday, April 11th, 2018", Everyday Devotional,"""Pope Francis cancels the Bible and proposes to create a new book.""
"
"on Wednesday, April 11th, 2018",The Global Headlines,"""Hollywood actor Bruce Willis: ‘Trump is the best US president ever, anyone who dislikes him should move to...""
"
"on Wednesday, April 11th, 2018", International News Trends,"Congressional Black Caucus introduces bill to ""tax people for being white.""
"
"on Tuesday, April 10th, 2018", Bloggers,"Says Buzz Aldrin ""passes UFO lie detector test leaving experts convinced that he encountered alien life.""
"
"on Tuesday, April 10th, 2018", Walmis2018.com,"""Walmart rewards everyone with $75 coupon to celebrate its 125th Anniversary""
"
"on Tuesday, April 10th, 2018", Only Politics,"""Malia Obama suspended after racist anti-white attack goes viral.""
"
"on Monday, April 9th, 2018",Politics Elite Trump,"""Actress Emma Stone: ‘For the first time in history we have a president that…""
"
"on Monday, April 9th, 2018", Bloggers,"""All Citizens Who Want to Receive Gvt Benefits Must Agree to Be Microchipped in the Near Future""
"
"on Friday, April 6th, 2018", Bloggers,"""YouTube witness makes shocking admission on live TV. CNN pulls plug immediately""
"
"on Friday, April 6th, 2018",Donald Trump,"""In many places, like California, the same person votes many times. You probably heard about that. They always like to say 'oh that's a conspiracy theory.' Not a conspiracy theory, folks. Millions and millions of people.""
"
"on Thursday, April 5th, 2018",Viral  Truth Wire,"""Obama secretly flees US - leaves stunning evidence behind.""
"
"on Tuesday, April 3rd, 2018", Fellowship of the Minds,"""Application for March for Our Lives permit was made months before Parkland shooting""

 
"
"on Friday, March 30th, 2018", Bloggers,"David Hogg graduated from Redondo Shores High School in 2015.
"
"on Friday, March 30th, 2018", Bloggers,"""Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison.""
"
"on Thursday, March 29th, 2018", Uncle Sam's Misguided Children,"Says U.S. Rep. Ron DeSantis ""voted in favor of food stamps for illegal immigrants.""
"
"on Thursday, March 29th, 2018",Beverly Boswell,"Many March for Our Lives speakers called for ""the murder of those who would not turn over their guns to the government.""
"
"on Thursday, March 29th, 2018",What happens  in the USA,"""Trey Gowdy breaks his silence after 2 of his investigators are found tortured and killed.""
"
"on Thursday, March 29th, 2018",Tom King,"A bill in Congress ""will ban all semi-automatic weapons, including pistols and shotguns. So, yes, they are coming to take away our guns.""
"
"on Wednesday, March 28th, 2018", Viral image,"""The United States is 3rd in murders throughout the world. If you remove Chicago, Detroit, Washington, St. Louis and New Orleans, the United States is then 189th out of 193 countries in the entire world.""
"
"on Tuesday, March 27th, 2018", Bloggers,"Says David Hogg wasn’t at school during the Parkland school shooting.
"
"on Tuesday, March 27th, 2018", Bloggers,"""80% of black men in Atlanta are Homosexuals, study says""
"
"on Monday, March 26th, 2018",ABC NEWS-US,"""Florida passes bill legalizing recreational use of marijuana.""
"
"on Monday, March 26th, 2018", Viral image,"Says Emma Gonzalez, a survivor of the Parkland school shooting, ripped up a copy of the U.S. Constitution
"
"on Friday, March 23rd, 2018", National Rifle Association,"""March For Our Lives is backed by radicals with a history of violent threats, language and actions.""
"
"on Thursday, March 22nd, 2018", Universal News Portal,"""Obama just broke federal law in attempt to take over presidency from Trump.""
"
"on Wednesday, March 21st, 2018", YourNewsWire.com,"""Biden preparing 2020 presidential bid -- with Obama as vice president.""
"
"on Tuesday, March 20th, 2018", Bloggers,"An all-female construction company built the Florida bridge that collapsed.
"
"on Tuesday, March 20th, 2018", Bloggers,"Say Charleston church shooter Dylann Roof was raped and beaten in prison.
"
"on Tuesday, March 20th, 2018",St. Lucia Times,"""Irish superstar Saoirse Ronan dies after on-set accident in St. Lucia.""
"
"on Monday, March 19th, 2018",Daily World  Update,"""Court orders Obama to pay $400 million in restitution.""
"
"on Friday, March 16th, 2018", Viral Politics US,"""Putin issues international arrest warrant for Soros""
"
"on Thursday, March 15th, 2018", Nowtrump.com,"The U.S. Supreme Court ruled that public school in the United States ""will not teach the tenets of Islam or Sharia Law.""
"
"on Wednesday, March 14th, 2018", delta-flying.info,"Delta Airlines is offering free airline tickets for people who take a short survey
"
"on Wednesday, March 14th, 2018", Ladies of Liberty,"""Trump wins the award Obama never could.""
"
"on Tuesday, March 13th, 2018",Donald Trump,"""The state of California is begging us to build walls in certain areas. They don’t tell you that.""
"
"on Monday, March 12th, 2018", Universal News Portal,"Says Jennifer Aniston said, ""Me and all the Trump supporter celebrities decide to make a company named ‘celebrities for Trump’""
"
"on Friday, March 9th, 2018", Meddaily,"The flu shot is ""designed to spread cancer.""
"
"on Wednesday, March 7th, 2018", NY FOX News,"Michelle Obama Just Received Life-Shattering News from the Doctor
"
"on Wednesday, March 7th, 2018", Bloggers,"""BREAKING Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America""

 

 
"
"on Monday, March 5th, 2018", Bloggers,"""Kushner And Wife Ivanka Trump Were Tossed Out Of The White House — And Donald Is Cutting Them Out Of His Will!""
"
"on Monday, March 5th, 2018", Bloggers,"Says Keanu Reeves said, ""For me, Trump is the symbol of a successful man and a role model for every young American, something that our nation was looking for for year. I don’t think that America will again have a leader like him.""
"
"on Monday, March 5th, 2018", Your Action News 3,"""Legendary actor Kirk Douglas dead, 4 days before his 101st birthday.""
"
"on Monday, March 5th, 2018",Bruce Rauner,"""Who’s really behind Jeanne Ives’ campaign for governor? Mike Madigan’s corrupt insider machine. They’ve bankrolled her campaign with thousands in shady labor union cash, turning Ives into another Madigan lackey.""
"
"on Friday, February 23rd, 2018",Larry Pittman,"""So many of these shooters turn out to be communist Democrats.""
"
"on Friday, February 23rd, 2018",Claudia Tenney,"""So many of these people that commit the mass murders end up being Democrats.""
"
"on Wednesday, February 21st, 2018",Mike Pence,"Says that ""along the southern border of the U.S.,"" the government apprehends ""seven individuals a day who are either known or suspected terrorists.""
"
"on Wednesday, February 21st, 2018", Bloggers,"Say David Hogg is a crisis actor. 
"
"on Monday, February 19th, 2018",Pamela Geller,"In Parkland, Fla. ""the mass murderer was immersed in Islamic and leftwing hate.""
"
"on Monday, February 19th, 2018",Donald Trump,"""I never said Russia did not meddle in the election.""

 
"
"on Monday, February 19th, 2018", YourNewsWire.com,"Says Melania Trump hired exorcist to ""cleanse White House of Obama demons.""
"
"on Monday, February 19th, 2018", Conservative Daily Post,"""Trump declares globalist Soros as ‘national security threat’ using Obama’s 2014 executive order.""
"
"on Friday, February 16th, 2018",usdeplorablesnews.com  ,"Says Michelle Obama said Florida shooting ""is clearly our president’s fault.""

 
"
"on Thursday, February 15th, 2018", The Politico News,"""Breaking: four million Democrat votes just declared fraudulent.""
"
"on Wednesday, February 14th, 2018", PuppetStringNews.com,"""Russian source behind fake Trump dossier killed in Russian plane crash, Rosatom CFO also dead""
"
"on Monday, February 12th, 2018", The Patriot Report,"Says Donald Trump is ""canceling funding for Obama’s free house and library.""
"
"on Thursday, February 8th, 2018", Bloggers,"""Just in: 45 states just banned Sharia law""
"
"on Wednesday, February 7th, 2018", Bloggers,"""First NFL team declares bankruptcy over kneeling thugs.""
"
"on Tuesday, February 6th, 2018",Donald Trump,"At the State of the Union address, Democrats, ""even on positive news … were like death and un-American. Un-American. Somebody said, ‘treasonous.’ I mean, yeah, I guess, why not? Can we call that treason? Why not?""
"
"on Tuesday, February 6th, 2018", Tweets,"""If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!""
"
